Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
04/13/2015,30,,Portland - SE Lafayette,41-051-0080,AQS
04/14/2015,29,,Portland - SE Lafayette,41-051-0080,AQS
04/15/2015,28,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
04/16/2015,37,,YACOLT - YACOLT RD,53-011-0022,AQS
04/17/2015,20,,YACOLT - YACOLT RD,53-011-0022,AQS
04/18/2015,30,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
04/19/2015,28,,YACOLT - YACOLT RD,53-011-0022,AQS
04/20/2015,27,,SAUVIE ISLAND-SIS,41-009-0004,AQS
04/21/2015,20,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
04/22/2015,20,,Portland - SE Lafayette,41-051-0080,AQS
04/23/2015,28,,Portland - SE Lafayette,41-051-0080,AQS
04/24/2015,21,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
04/25/2015,23,,Portland - SE Lafayette,41-051-0080,AQS
04/26/2015,25,,Portland - SE Lafayette,41-051-0080,AQS
04/27/2015,20,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
04/28/2015,16,,Portland - SE Lafayette,41-051-0080,AQS
04/29/2015,21,,Portland - SE Lafayette,41-051-0080,AQS
04/30/2015,28,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
05/01/2015,18,,YACOLT - YACOLT RD,53-011-0022,AQS
05/02/2015,23,,YACOLT - YACOLT RD,53-011-0022,AQS
05/03/2015,32,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
05/04/2015,28,,YACOLT - YACOLT RD,53-011-0022,AQS
05/05/2015,18,,Hillsboro - Hare Field,41-067-0004,AQS
05/06/2015,16,,Portland - SE Lafayette,41-051-0080,AQS
05/07/2015,24,,Portland - SE Lafayette,41-051-0080,AQS
05/08/2015,18,,Portland - SE Lafayette,41-051-0080,AQS
05/09/2015,33,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
05/10/2015,25,,Vancouver-NE 84th Ave,53-011-0024,AQS
05/11/2015,14,,Vancouver-NE 84th Ave,53-011-0024,AQS
05/12/2015,14,,Portland - SE Lafayette,41-051-0080,AQS
05/13/2015,15,,SAUVIE ISLAND-SIS,41-009-0004,AQS
05/14/2015,19,,YACOLT - YACOLT RD,53-011-0022,AQS
05/15/2015,25,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
05/16/2015,24,,Portland - SE Lafayette,41-051-0080,AQS
05/17/2015,20,,YACOLT - YACOLT RD,53-011-0022,AQS
05/18/2015,33,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
05/19/2015,25,,Portland - SE Lafayette,41-051-0080,AQS
05/20/2015,30,,Portland - SE Lafayette,41-051-0080,AQS
05/21/2015,49,,Portland - SE Lafayette,41-051-0080,AQS
05/22/2015,30,,Portland - SE Lafayette,41-051-0080,AQS
05/23/2015,20,,Beaverton - Highland Park,41-067-0111,AQS
05/24/2015,18,,YACOLT - YACOLT RD,53-011-0022,AQS
05/25/2015,17,,Beaverton - Highland Park,41-067-0111,AQS
05/26/2015,29,,Portland - SE Lafayette,41-051-0080,AQS
05/27/2015,31,,Portland - SE Lafayette,41-051-0080,AQS
05/28/2015,33,,Vancouver-NE 84th Ave,53-011-0024,AQS
05/29/2015,40,,Vancouver-NE 84th Ave,53-011-0024,AQS
05/30/2015,34,,Vancouver-NE 84th Ave,53-011-0024,AQS
05/31/2015,35,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/01/2015,33,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/02/2015,23,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/03/2015,24,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/04/2015,17,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/05/2015,23,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/06/2015,27,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/07/2015,40,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/08/2015,36,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/09/2015,32,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/10/2015,44,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/11/2015,25,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/12/2015,27,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/13/2015,35,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/14/2015,32,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/15/2015,37,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/16/2015,29,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/17/2015,21,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
06/18/2015,25,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/19/2015,19,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/20/2015,24,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/21/2015,33,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/22/2015,25,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/23/2015,24,,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS
06/24/2015,13,,SAUVIE ISLAND-SIS,41-009-0004,AQS
06/25/2015,13,,SAUVIE ISLAND-SIS,41-009-0004,AQS
06/26/2015,34,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/27/2015,43,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/28/2015,43,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/29/2015,36,,Vancouver-NE 84th Ave,53-011-0024,AQS
06/30/2015,30,,Vancouver-NE 84th Ave,53-011-0024,AQS
07/01/2015,37,,Vancouver-NE 84th Ave,53-011-0024,AQS
07/02/2015,43,,Vancouver-NE 84th Ave,53-011-0024,AQS
