"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"11/12/2000","122","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/13/2000","60","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"11/14/2000","87","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"11/15/2000","94","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/16/2000","94","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/17/2000","134","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"11/18/2000","88","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/19/2000","77","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/20/2000","113","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"11/21/2000","71","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"11/22/2000","82","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"11/23/2000","117","","Beaverton - Highland Park","41-067-0111","AQS"
"11/24/2000","70","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"11/25/2000","57","","Portland - SE Lafayette","41-051-0080","AQS"
"11/26/2000","51","","Portland - SE Lafayette","41-051-0080","AQS"
"11/27/2000","66","","Portland - SE Lafayette","41-051-0080","AQS"
"11/28/2000","44","","Portland - SE Lafayette","41-051-0080","AQS"
"11/29/2000","55","","Portland - SE Lafayette","41-051-0080","AQS"
"11/30/2000","58","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/01/2000","55","","Portland - SE Lafayette","41-051-0080","AQS"
"12/02/2000","69","","Beaverton - Highland Park","41-067-0111","AQS"
"12/03/2000","54","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/04/2000","53","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"12/05/2000","110","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"12/06/2000","51","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"12/07/2000","54","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"12/08/2000","106","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"12/09/2000","89","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"12/10/2000","87","","Portland - SE Lafayette","41-051-0080","AQS"
"12/11/2000","59","","Portland - SE Lafayette","41-051-0080","AQS"
"12/12/2000","50","","Portland - SE Lafayette","41-051-0080","AQS"
"12/13/2000","58","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/14/2000","62","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/15/2000","54","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"12/16/2000","28","","Portland - SE Lafayette","41-051-0080","AQS"
"12/17/2000","74","","Portland - SE Lafayette","41-051-0080","AQS"
"12/18/2000","57","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/19/2000","96","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/20/2000","69","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"12/21/2000","52","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/22/2000","46","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/23/2000","59","","Portland - SE Lafayette","41-051-0080","AQS"
"12/24/2000","59","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/25/2000","35","","Portland - SE Lafayette","41-051-0080","AQS"
"12/26/2000","73","","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS"
"12/27/2000","72","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/28/2000","52","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/29/2000","77","","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS"
"12/30/2000","29","","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS"
"12/31/2000","54","","Portland - SE Lafayette","41-051-0080","AQS"
