Location,Year,Month,Monthly_MSL,Linear_Trend,High_Conf.,Low_Conf.
Portland ME,1924,4,-0.103,-0.115,-0.108,-0.123
Portland ME,1924,5,-0.1,-0.115,-0.108,-0.123
Portland ME,1924,6,-0.128,-0.115,-0.108,-0.122
Portland ME,1924,7,-0.153,-0.115,-0.108,-0.122
Portland ME,1924,8,-0.112,-0.115,-0.108,-0.122
Portland ME,1924,9,-0.133,-0.115,-0.107,-0.122
Portland ME,1924,10,-0.14,-0.114,-0.107,-0.122
Portland ME,1924,11,-0.148,-0.114,-0.107,-0.122
Portland ME,1924,12,-0.183,-0.114,-0.107,-0.121
Portland ME,1925,1,-0.119,-0.114,-0.107,-0.121
Portland ME,1925,2,-0.147,-0.114,-0.107,-0.121
Portland ME,1925,3,-0.163,-0.114,-0.106,-0.121
Portland ME,1925,4,-0.161,-0.113,-0.106,-0.121
Portland ME,1925,5,-0.136,-0.113,-0.106,-0.121
Portland ME,1925,6,-0.152,-0.113,-0.106,-0.12
Portland ME,1925,7,-0.138,-0.113,-0.106,-0.12
Portland ME,1925,8,-0.17,-0.113,-0.106,-0.12
Portland ME,1925,9,-0.142,-0.113,-0.106,-0.12
Portland ME,1925,10,-0.149,-0.113,-0.105,-0.12
Portland ME,1925,11,-0.167,-0.112,-0.105,-0.12
Portland ME,1925,12,-0.165,-0.112,-0.105,-0.119
Portland ME,1926,1,-0.201,-0.112,-0.105,-0.119
Portland ME,1926,2,-0.105,-0.112,-0.105,-0.119
Portland ME,1926,3,-0.212,-0.112,-0.105,-0.119
Portland ME,1926,4,-0.2,-0.112,-0.105,-0.119
Portland ME,1926,5,-0.17,-0.111,-0.104,-0.119
Portland ME,1926,6,-0.167,-0.111,-0.104,-0.118
Portland ME,1926,7,-0.144,-0.111,-0.104,-0.118
Portland ME,1926,8,-0.118,-0.111,-0.104,-0.118
Portland ME,1926,9,-0.139,-0.111,-0.104,-0.118
Portland ME,1926,10,-0.11,-0.111,-0.104,-0.118
Portland ME,1926,11,-0.191,-0.11,-0.103,-0.118
Portland ME,1926,12,-0.119,-0.11,-0.103,-0.117
Portland ME,1927,1,-0.18,-0.11,-0.103,-0.117
Portland ME,1927,2,-0.089,-0.11,-0.103,-0.117
Portland ME,1927,3,-0.13,-0.11,-0.103,-0.117
Portland ME,1927,4,-0.152,-0.11,-0.103,-0.117
Portland ME,1927,5,-0.13,-0.11,-0.103,-0.116
Portland ME,1927,6,-0.106,-0.109,-0.102,-0.116
Portland ME,1927,7,-0.153,-0.109,-0.102,-0.116
Portland ME,1927,8,-0.124,-0.109,-0.102,-0.116
Portland ME,1927,9,-0.148,-0.109,-0.102,-0.116
Portland ME,1927,10,-0.097,-0.109,-0.102,-0.116
Portland ME,1927,11,-0.097,-0.109,-0.102,-0.115
Portland ME,1927,12,-0.04,-0.108,-0.102,-0.115
Portland ME,1928,1,-0.155,-0.108,-0.101,-0.115
Portland ME,1928,2,-0.172,-0.108,-0.101,-0.115
Portland ME,1928,3,-0.136,-0.108,-0.101,-0.115
Portland ME,1928,4,-0.2,-0.108,-0.101,-0.115
Portland ME,1928,5,-0.139,-0.108,-0.101,-0.114
Portland ME,1928,6,-0.122,-0.107,-0.101,-0.114
Portland ME,1928,7,-0.132,-0.107,-0.1,-0.114
Portland ME,1928,8,-0.103,-0.107,-0.1,-0.114
Portland ME,1928,9,-0.09,-0.107,-0.1,-0.114
Portland ME,1928,10,-0.146,-0.107,-0.1,-0.114
Portland ME,1928,11,-0.142,-0.107,-0.1,-0.113
Portland ME,1928,12,-0.202,-0.107,-0.1,-0.113
Portland ME,1929,1,-0.216,-0.106,-0.1,-0.113
Portland ME,1929,2,-0.138,-0.106,-0.099,-0.113
Portland ME,1929,3,-0.096,-0.106,-0.099,-0.113
Portland ME,1929,4,-0.072,-0.106,-0.099,-0.113
Portland ME,1929,5,-0.197,-0.106,-0.099,-0.112
Portland ME,1929,6,-0.112,-0.106,-0.099,-0.112
Portland ME,1929,7,-0.15,-0.105,-0.099,-0.112
